node,nf_degree_centrality,nf_closeness_centrality,nf_pagerank,nf_load_centrality,nf_average_neighbor_degree,nf_eigenvector_centrality,nf_harmonic_centrality,nf_betweenness_centrality,nf_hub_score,nf_constraint,nf_coreness,nf_eccentricity
16679,0.0142007100355017,0.4717079038611222,0.0001034174166719,0.0001168471948435,599.1197183098592,0.0129719514502381,0.4049760821372696,282.35698909601825,0.0104877946121156,0.0352958112682843,30,5.0
6140,0.0283014150707535,0.4758154695343913,0.0001847613315846,0.0002413263712613,497.1872791519434,0.0257847829173289,0.4605771955264996,13609.578286758478,0.0554316953793902,0.0063607212909818,113,4.0
17055,0.0928546427321366,0.5081175842882187,0.0006606849404604,0.0036539389395689,262.0516962843296,0.0443110854514761,0.4704026868011155,1319.8605008641991,0.0418078506618691,0.0157608181587045,63,4.0
9919,0.0184009200460023,0.4484181259669499,0.0001249774390233,9.661002376267604e-05,434.07065217391306,0.0162171197085193,0.440330349850795,2611.894938331345,0.0421782173405915,0.009620657343983,103,4.0
17773,0.0195509775488774,0.4774626366805137,0.0001399599582252,0.0001490495675246,521.1432225063938,0.015847024803697,0.3996674833739954,14.793111266646102,0.0070947965246028,0.0809500049868616,13,5.0
4489,0.0606530326516325,0.4865936739659367,0.0004741207625127,0.001542204905485,210.0469909315746,0.0278395334385758,0.4518742603797076,5814.688926619056,0.0319114482378517,0.0104252334071199,81,5.0
15736,0.0374518725936296,0.466383713066393,0.0002859193384787,0.0008426777457394,249.47663551401868,0.0204794873677563,0.4588896111472813,1187.8884319319725,0.022558537819594,0.0228144419618127,44,4.0
2602,0.0201010050502525,0.4705425627029316,0.0001720498783899,0.0003881069482087,310.0422885572139,0.0095695266019499,0.4473390336183487,6757.211447269979,0.0338024447008449,0.009416279708206,83,4.0
562,0.0064003200160008,0.4083011780077989,5.471858033395587e-05,5.307875796490071e-05,389.8203125,0.0041337119071211,0.4704901911763263,17022.75897107014,0.067846189838834,0.0049486437209006,115,4.0
17536,0.0336516825841292,0.4826013513513513,0.0002471206819651,0.0004959187278401,416.6210995542348,0.0262482076197857,0.344664733236579,62.88556075238392,0.0015910483067011,0.045676648266938,23,5.0
4903,0.0123506175308765,0.4648768014876801,9.325962594002388e-05,7.262494917621488e-05,549.0485829959514,0.0105956840237923,0.4206752004265611,5213.151986149658,0.0638317153959918,0.0062731061917874,129,4.0
11085,0.0093504675233761,0.4711411609498681,7.651130167947245e-05,0.0001186052866178,785.427807486631,0.0088372151261503,0.4472098604930261,2174.656233309023,0.0497997768770928,0.0111184580861405,94,4.0
11529,0.0024501225061253,0.4362593255093582,2.4830908011496976e-05,4.078691908676812e-06,984.6530612244898,0.0030759111716952,0.4186142640464086,745.582243835806,0.0178558128758155,0.0223609775204102,50,5.0
4406,0.0116005800290014,0.4651471101290848,9.665413525687624e-05,0.0001938224122598,523.7370689655172,0.0079601548811106,0.4484182542460496,2978.56579958202,0.0611465167625156,0.0075343632489853,121,4.0
13670,0.0189009450472523,0.4784907646664753,0.0001407103662513,0.0002054393352528,625.478835978836,0.0153995339495072,0.3824457889559805,178.8834539398709,0.0042039062264433,0.0600316597875815,16,5.0
3743,0.0068503425171258,0.4684484212498829,5.350860342687311e-05,3.3587146514691745e-05,1121.4525547445255,0.0098141498078354,0.4694068036736052,54485.83639543288,0.118461543689963,0.0032815203134384,127,4.0
9216,0.0123006150307515,0.444768153007895,9.154177305585854e-05,6.626147955285742e-05,396.9878048780488,0.0087449800101814,0.4144748904110406,842.9795410573735,0.0243824117237967,0.0170175480020458,69,4.0
19174,0.0090004500225011,0.4483578074206927,7.069370479274497e-05,6.0611514943466455e-05,565.4944444444444,0.0079492755339556,0.3953989366133335,158.28388005587374,0.003776576771553,0.1790544528174168,6,4.0
10160,0.0225011250562528,0.4571095517816735,0.000187781158774,0.0006962799220966,334.6933333333333,0.0123499272373844,0.4369968498424477,1488.3225907010158,0.0265083343705141,0.0157309547726667,66,4.0
