emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,node
-1.2439581,-0.88170046,0.331697,1.7748296,-0.30115288,-0.25220114,-0.015390381,0.078853495,1452
5.058805,1.4242806,3.2807157,4.961111,2.1863673,-0.041708276,3.412244,8.709597,1484
2.3373423,4.6612196,-1.8744621,1.2773529,1.9389946,2.3202505,1.2397743,-0.648303,1509
-0.6930648,0.84994274,-1.7538832,1.28692,-0.15954788,0.1043133,-1.8436573,-0.5877359,1514
-0.4989317,1.3398695,0.6492381,1.2832426,0.3279377,1.4808025,0.5229964,2.3913095,1533
3.0115912,-0.8072006,3.804809,3.8246295,-1.1212894,1.1868407,4.2928495,6.393455,1616
1.1357371,1.7598994,1.1028541,1.571639,0.57311666,1.1676983,-0.8687736,2.3745067,1621
4.630821,1.2356086,4.7464995,5.898123,4.699846,-0.32069498,3.7736094,7.9181128,1639
-0.41061357,0.16297397,-3.3248746,1.0300149,0.8360519,1.2250547,0.034222186,-2.6015487,1709
-0.70995814,1.4811059,-1.4742519,0.3349573,-0.4548881,2.0413404,-1.190694,-1.0480874,1729
1.1032652,1.243607,0.02565301,2.031895,0.61542845,1.4124376,0.7704418,-0.8231065,1808
-0.82856447,-0.49652633,1.4773071,3.322875,-0.7371366,1.5084147,1.1925482,3.7535522,1819
4.3477154,0.74584574,3.3588629,3.4521437,2.6231968,-0.19824512,5.048066,9.206738,1910
4.6066585,1.1798207,3.1923265,3.7484207,1.7861409,-0.27031636,3.3469627,9.341508,1915
4.200789,0.57444745,4.8548703,5.662309,5.714275,0.06820281,5.954113,7.562725,1931
2.1153119,2.7067976,3.3752813,4.7101994,-0.5801393,0.18786229,1.9699787,6.644505,1955
1.4250447,0.6521062,2.8306026,3.9892802,-0.06839758,2.9915824,4.0367165,3.6207728,1966
4.3562427,0.5721734,2.4452028,5.11306,1.6762471,1.0023985,3.266822,7.9821215,1977
-1.6281943,1.090421,4.126535,4.5986323,-0.097682655,-0.011913165,0.67678297,2.7702975,1988
2.9491432,4.1110787,2.2021894,4.881855,-0.46275282,0.90653056,2.259664,4.8143272,1990
4.3477154,0.74584574,3.3588629,3.4521437,2.6231968,-0.19824512,5.048066,9.206738,2011
-0.08656136,-0.521283,0.820613,3.0422502,0.1032356,1.2791935,0.5682719,-0.34420127,2034
-0.23440872,0.7275103,3.3726668,1.8790282,0.0721882,5.7124486,1.2314671,4.3896856,2038
-1.4083711,1.4036722,1.4379776,1.5910571,-1.11666,2.5736475,-1.718761,-0.48621958,2122
0.49910456,0.19797441,-1.639459,-0.37511566,-0.04308945,2.759927,-1.891389,-1.0035259,2164
3.8756576,1.1358237,2.255459,3.5208664,0.8321288,1.8079002,3.7841213,9.813618,2190
0.6133934,0.08948377,1.9307526,4.478828,-0.18134767,1.0923101,2.9636884,4.239311,2222
1.2971977,3.1587677,0.7959648,4.0282574,1.1689285,0.61171085,3.5683177,8.756548,2229
4.213876,2.0747724,-0.109312706,0.43451446,1.9768143,3.1344593,2.799041,2.9314427,2235
1.5938102,2.0611095,2.8651657,1.5804939,0.5326439,4.019037,2.6464915,5.518833,2263
-0.5305007,0.15265587,3.6531482,3.6457148,0.9997258,-1.2972958,1.6924601,6.8476315,2282
1.0898508,0.29226452,0.2083239,1.6068634,0.2934562,2.0859869,-0.3048954,1.2681801,2433
0.53163135,2.8985693,0.33641252,3.794201,-1.1377295,0.29907233,2.5727005,8.287201,2436
1.4587436,-0.32150295,-0.9154813,0.66681373,0.9056721,3.0711596,-1.59876,-0.99197346,2454
1.044109,-2.9723277,3.4074059,2.12031,-2.2570217,4.7205224,0.9779655,4.4971943,2457
3.914578,1.2140846,2.3422613,4.6289687,0.730197,0.46422368,1.7005608,8.364718,2460
0.21760614,2.9572043,3.95565,5.458174,0.5534776,-4.0385194,2.4864118,5.304057,2469
-0.25081632,0.21793249,-0.2322937,1.5762126,0.8883889,0.7846922,0.3973491,-0.019115113,2565
4.200789,0.57444745,4.8548703,5.662309,5.714275,0.06820281,5.954113,7.562725,2602
-0.29451716,0.68178225,-1.3520932,1.3516859,0.43643066,0.66415024,-0.7533035,1.3146843,2619
